departure location: 29-917 or 943-952
departure station: 50-875 or 884-954
departure platform: 41-493 or 503-949
departure track: 50-867 or 875-966
departure date: 30-655 or 679-956
departure time: 46-147 or 153-958
arrival location: 50-329 or 344-968
arrival station: 42-614 or 623-949
arrival platform: 35-849 or 860-973
arrival track: 42-202 or 214-959
class: 38-317 or 329-968
duration: 44-530 or 539-953
price: 28-713 or 727-957
route: 30-157 or 179-966
row: 38-114 or 136-969
seat: 45-441 or 465-956
train: 44-799 or 824-951
type: 41-411 or 437-953
wagon: 39-79 or 86-969
zone: 48-306 or 317-974

your ticket:
191,89,73,139,71,103,109,53,97,179,59,67,79,101,113,157,61,107,181,137

nearby tickets:
917,157,627,684,64,737,544,626,363,77,742,911,781,358,138,253,545,93,95,500
626,449,570,369,219,949,270,51,690,546,114,825,291,627,875,373,829,473,393,482
639,400,88,768,350,352,583,119,407,734,228,58,64,635,600,257,847,862,472,224
624,695,636,697,690,527,297,849,764,949,570,691,70,306,76,424,752,71,561,648
301,849,904,844,687,553,216,137,353,287,592,257,588,742,197,206,346,355,507,301
55,106,865,385,259,352,574,438,787,890,511,211,866,794,847,588,944,406,376,569
68,705,902,75,390,243,895,394,907,638,522,679,291,794,884,73,474,406,366,321
385,146,561,266,733,4,260,467,180,730,480,296,912,220,887,639,269,557,764,329
359,395,787,872,392,102,551,770,568,223,654,179,863,96,599,840,154,764,238,370
611,897,758,11,760,248,280,793,137,867,739,605,359,580,100,886,945,285,185,548
741,52,654,230,189,155,824,330,629,437,234,624,227,71,827,398,403,476,364,373
350,529,231,385,217,265,487,488,695,76,858,528,548,488,696,763,593,948,217,147
265,179,542,341,564,300,395,763,700,738,389,147,291,246,542,393,530,637,503,186
327,64,297,628,569,798,72,685,77,799,764,92,727,146,482,646,101,904,190,835
646,481,643,626,218,480,470,536,784,475,568,68,196,529,296,403,863,74,235,760
844,882,860,571,188,198,264,736,825,482,373,862,651,182,286,775,626,56,587,897
590,651,385,712,608,399,746,873,473,745,685,361,603,629,562,295,699,611,92,389
76,190,620,401,96,510,238,839,273,604,688,295,906,553,567,828,514,627,62,575
187,380,145,864,710,223,864,553,636,215,791,915,539,489,841,749,651,355,507,983
297,234,778,558,615,910,409,386,344,944,736,609,779,752,76,246,226,219,825,546
107,839,409,866,503,243,365,303,3,147,825,737,255,761,252,825,288,293,777,391
554,896,705,626,489,792,138,285,626,285,312,140,643,215,290,269,491,217,491,470
366,227,294,154,883,551,576,377,74,519,730,179,903,608,530,752,66,58,254,526
371,243,787,187,467,363,462,147,379,549,192,550,889,747,214,261,471,845,781,232
68,363,639,192,728,299,627,63,261,576,487,349,146,277,738,300,514,975,244,146
587,647,472,902,861,701,465,481,92,833,256,186,207,280,92,901,736,681,234,508
593,916,710,284,106,0,73,752,729,779,400,740,788,57,384,571,186,522,741,561
483,129,520,272,222,290,253,626,409,690,196,215,106,189,138,91,734,475,237,737
439,496,643,688,891,279,690,75,56,574,297,864,646,642,184,744,349,257,597,110
775,396,92,730,763,365,909,244,524,405,903,283,22,190,746,289,763,111,344,193
587,55,5,69,62,108,743,679,143,192,290,652,526,550,473,572,377,650,544,392
251,246,787,672,466,693,860,70,824,183,777,490,136,179,705,221,685,896,713,389
624,711,651,113,50,894,759,895,103,978,264,104,467,381,196,745,361,371,758,694
272,261,256,543,734,588,772,828,250,59,359,141,650,480,55,710,216,84,284,700
901,481,217,619,767,544,214,562,574,357,215,91,753,897,527,738,154,773,99,596
651,753,783,763,743,788,788,892,409,746,878,796,785,592,63,504,389,382,488,902
220,65,107,347,89,836,350,614,358,73,756,505,767,839,597,145,83,364,297,289
452,357,861,136,484,156,862,685,386,293,241,193,735,606,903,916,563,492,864,709
111,254,255,741,666,136,242,584,438,355,644,596,469,288,473,605,771,694,489,597
386,519,65,442,861,828,185,712,600,762,743,739,385,797,582,491,268,156,905,794
397,728,229,891,611,438,144,794,96,239,921,945,250,184,907,517,914,294,900,270
558,627,751,17,728,181,59,74,410,221,862,265,691,846,265,266,796,391,53,222
306,296,264,348,184,639,57,796,545,788,475,693,564,752,200,366,862,208,110,94
566,103,532,88,684,191,347,828,76,904,491,734,264,512,767,486,280,56,693,759
650,733,430,239,195,256,294,565,505,104,829,87,731,593,944,630,141,604,733,701
52,318,220,838,507,107,251,599,378,383,396,765,402,755,352,188,365,738,292,739
696,569,358,228,193,267,710,63,905,615,100,371,393,689,552,91,516,139,290,197
77,740,68,576,515,750,835,183,989,573,843,600,847,145,703,892,791,764,76,569
754,593,885,91,778,894,623,617,487,216,513,900,144,237,944,113,946,370,708,354
623,521,487,682,686,594,906,278,389,68,617,359,295,231,830,875,113,825,186,186
793,931,518,529,679,87,367,295,525,683,76,784,901,293,247,57,195,638,947,87
428,109,519,708,265,288,605,576,639,614,513,508,53,541,93,762,838,389,860,438
483,785,556,397,762,642,680,609,753,92,347,185,323,709,866,440,329,224,750,305
211,627,53,585,74,260,629,543,895,200,239,379,610,61,765,345,586,751,611,763
196,775,886,589,154,896,105,224,406,552,574,692,598,347,637,107,373,739,650,207
688,351,68,565,199,781,197,839,388,702,865,81,647,228,480,74,56,731,394,605
